location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
GP,2020-04-12,865,67,3,0,0,20679,1299
GP,2020-04-13,890,42,4,1,0,21603,924
GP,2020-04-14,909,37,4,0,0,22470,867
GP,2020-04-15,930,39,5,1,0,23372,902
GP,2020-04-16,969,55,6,1,0,24546,1174
GP,2020-04-17,1018,71,6,0,0,26035,1489
GP,2020-04-18,1101,115,6,0,0,27939,1904
GP,2020-04-19,1148,89,6,0,0,29620,1681
GP,2020-04-20,1170,65,7,1,0,31376,1756
GP,2020-04-21,1199,72,7,0,0,32777,1401
GP,2020-04-22,1224,26,7,0,0,34542,1765
GP,2020-04-23,1252,29,8,1,0,37071,2529
GP,2020-04-24,1281,29,8,0,0,39348,2277
GP,2020-04-25,1304,23,8,0,0,41572,2224
GP,2020-04-26,1331,27,8,0,0,43544,1972
GP,2020-04-27,1353,22,8,0,0,46081,2537
GP,2020-04-28,1377,24,8,0,0,47895,1814
GP,2020-04-29,1408,31,11,3,0,50898,3003
GP,2020-04-30,1446,38,11,0,0,53584,2686
GP,2020-05-01,1507,61,11,0,0,56164,2580
GP,2020-05-02,1598,91,12,1,0,59563,3399
GP,2020-05-03,1624,26,14,2,0,63452,3889
GP,2020-05-04,1651,27,14,0,0,66497,3045
GP,2020-05-05,1697,46,15,1,0,69214,2717
GP,2020-05-06,1720,23,15,0,0,72136,2922
GP,2020-05-07,1804,84,15,0,0,75434,3298
GP,2020-05-08,1851,47,18,3,0,79462,4028
GP,2020-05-09,1910,59,19,1,0,83678,4216
GP,2020-05-10,1952,42,22,3,0,88134,4456
GP,2020-05-11,1971,19,22,0,0,91938,3804
GP,2020-05-12,2014,43,22,0,0,95457,3519
GP,2020-05-13,2074,60,24,2,0,99757,4300
GP,2020-05-14,2135,61,24,0,0,104060,4303
GP,2020-05-15,2210,75,24,0,0,108846,4786
GP,2020-05-16,2262,52,25,1,0,113495,4649
GP,2020-05-17,2329,67,25,0,0,118998,5503
GP,2020-05-18,2343,14,26,1,0,122664,3666
GP,2020-05-19,2361,18,27,1,0,126160,3496
GP,2020-05-20,2400,39,27,0,0,130615,4455
GP,2020-05-21,2453,53,27,0,0,135669,5054
GP,2020-05-22,2521,68,29,2,0,140213,4544
